phase,original_section_index,original_title,original_location,new_routes,disposition,reason
4,0,Inside This Chapter,original-course/main.js: PHASE_CONTENT[phase-4].sections[0],start; course-guide; Learn learning goals,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
4,1,Learning objectives,original-course/main.js: PHASE_CONTENT[phase-4].sections[1],start; course-guide; Learn learning goals,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
4,2,Chapter roadmap,original-course/main.js: PHASE_CONTENT[phase-4].sections[2],start; course-guide; Learn learning goals,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
4,3,1. Foundations of Confidence,original-course/main.js: PHASE_CONTENT[phase-4].sections[3],task-confidence,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification. Remove certainty requirement and unsubstantiated neurological equivalence; include flexible rehearsal and useful feedback."
4,4,2. Where Confidence Comes From,original-course/main.js: PHASE_CONTENT[phase-4].sections[4],preparation-evidence,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
4,5,"3. The Confidence Account: Deposits, Withdrawals, and the Mental Filter",original-course/main.js: PHASE_CONTENT[phase-4].sections[5],useful-evidence,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
4,6,4. Protecting Confidence Under Pressure,original-course/main.js: PHASE_CONTENT[phase-4].sections[6],feedback-setbacks,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification. Remove certainty requirement and unsubstantiated neurological equivalence; include flexible rehearsal and useful feedback."
4,7,5. The Routine Bridge: C-B-A,original-course/main.js: PHASE_CONTENT[phase-4].sections[7],cba-routine,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
4,8,6. Envisioning: The Mental Cinema,original-course/main.js: PHASE_CONTENT[phase-4].sections[8],rehearsal-formats,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification. Remove certainty requirement and unsubstantiated neurological equivalence; include flexible rehearsal and useful feedback."
4,9,7. The Mental Director's Toolkit,original-course/main.js: PHASE_CONTENT[phase-4].sections[9],rehearsal-formats; disruption-rehearsal,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification. Remove certainty requirement and unsubstantiated neurological equivalence; include flexible rehearsal and useful feedback."
4,10,8. Integrating the System,original-course/main.js: PHASE_CONTENT[phase-4].sections[10],disruption-rehearsal; combine-toolkit,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
4,11,Common misunderstandings,original-course/main.js: PHASE_CONTENT[phase-4].sections[11],feedback-setbacks,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
4,12,End-of-chapter summary,original-course/main.js: PHASE_CONTENT[phase-4].sections[12],combine-toolkit,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
4,13,Glossary of Essential Terms,original-course/main.js: PHASE_CONTENT[phase-4].sections[13],resources; reading glossary,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
