phase,route,viewport,active_correct,document_overflow_px,all_images_loaded,guide_started_closed,top_activity_bottom_captured,result,notes
2,course-guide,1117x902,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,start,1117x902,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,effort-direction,1117x902,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,motivation-reasons,1117x902,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,psychological-needs,1117x902,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,values-action,1117x902,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,responding-mistakes,1117x902,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,usable-goals,1117x902,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,effort-recovery,1117x902,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,situation-plan,1117x902,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,performance-lab,1117x902,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,untimed-practice,1117x902,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,playbook,1117x902,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,phase-review,1117x902,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,checkpoint,1117x902,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,process-collection,1117x902,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,resources,1117x902,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,performance-game,1117x902,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,course-guide,390x844,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,start,390x844,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,effort-direction,390x844,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,motivation-reasons,390x844,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,psychological-needs,390x844,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,values-action,390x844,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,responding-mistakes,390x844,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,usable-goals,390x844,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,effort-recovery,390x844,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,situation-plan,390x844,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,performance-lab,390x844,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,untimed-practice,390x844,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,playbook,390x844,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,phase-review,390x844,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,checkpoint,390x844,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,process-collection,390x844,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,resources,390x844,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
2,performance-game,390x844,True,0,True,True,True,PASS,Component fixture; HTTP launch and actual reload not run.
