phase,original_file,replacement_file,disposition,conceptual_changes,placement,sha256,bytes,alt_text_and_live_explanation,original_sha256,original_archival_location
2,assets/readings/phase2-figures/phase2-growth-equation.png,assets/figures/phase2-growth-equation.svg,corrected native SVG,"Simplified practice/recovery/review model, not mathematical growth or guaranteed adaptation.",effort-recovery,3eefc938bdfaca25cfeba211d28494c978dc873c823399125f6065d95ec11390,2356,True,11befaec063c245b5b12ebd528c7550dc7ab684e23c1acb0c4aa9036a06bf7d2,Supplied SportsWellness_Original_All_Phases_Generation_2026-09-17.zip
2,assets/readings/phase2-figures/phase2-person-situation.png,assets/figures/phase2-person-situation.svg,corrected native SVG,Same performer in changed conditions; no personality-profile prescription.,situation-plan,d769ad9587b9a0e297cc75455598391f37ce254f2d922d6431b3f92b6dfe013b,2982,True,a29e2be91207e9d4627d9e38e7cdbec0e2e6f42fd6e32458bcf107b8d97636d2,Supplied SportsWellness_Original_All_Phases_Generation_2026-09-17.zip
2,assets/readings/phase2-figures/phase2-motivation-continuum.png,assets/figures/phase2-motivation-continuum.svg,corrected native SVG,Amotivation separate; integrated remains extrinsic; no compulsory progression.,motivation-reasons,595322a3b875c340f7c63c5d6bde5545fa56404a65d01b17df8b6023fd3f3d35,3512,True,1f3e692aa33c4c973cafad44a7ed51f40073f0cba5a4a65cba409744ac054ffe,Supplied SportsWellness_Original_All_Phases_Generation_2026-09-17.zip
2,assets/readings/phase2-figures/phase2-integrated-discipline-system.png,assets/figures/phase2-integrated-discipline-system.svg,corrected native SVG,One instance of each influence; simplified synthesis after teaching the components.,situation-plan,dba1512092267af40e9d8b0da438fd9c86b50b6c40649b5589a071c932a9e076,2782,True,0928686b31d2c705ef481bf5781cf9ae32eedc492754b2b47871eea69b8e00e5,Supplied SportsWellness_Original_All_Phases_Generation_2026-09-17.zip
2,assets/readings/phase2-figures/phase2-recovery-continuum.png,assets/figures/phase2-recovery-continuum.svg,corrected native SVG,"Notice, discuss adjustment and obtain support rather than learner diagnosis or fixed recovery timelines.",effort-recovery,2b2593fbb18bfa8677ce11a322b3ea8d7c63953944e3bd2a8a1e850fda0c4bfb,3429,True,300dcc4b5b82d73297f52bbb11d262988eac19ee99b5d4774c6e4948acc874eb,Supplied SportsWellness_Original_All_Phases_Generation_2026-09-17.zip
2,assets/readings/phase2-figures/phase2-psychological-needs.png,assets/figures/phase2-psychological-needs.svg,corrected native SVG,Three needs with plain labels and task examples; effects not guaranteed.,psychological-needs,552df23e1812e3130c130ea80910ce04439f1e6b53f1d15375a2736e2e71be4c,2758,True,818986fa9e7d459454c9392b8161ef2ad5e5d23a3bb14b830c602d5ed9873d51,Supplied SportsWellness_Original_All_Phases_Generation_2026-09-17.zip
3,assets/readings/phase3-figures/phase3-inner-game-equation.png,assets/figures/phase3-inner-game-equation.svg,corrected native SVG,"Attributed Gallwey coaching framework, not anatomy or measured arithmetic.",observation-self-talk,e93831b020e1ab2b64e1c5701dd3057748adfe228eb77b48ff912446c6a92acf,2915,True,c7027d04b793b2c5d2c007059df13965a332d6c933c36d4d260b1b83f211f387,Supplied SportsWellness_Original_All_Phases_Generation_2026-09-17.zip
3,assets/readings/phase3-figures/phase3-reset-sequence.png,assets/figures/phase3-reset-sequence.svg,corrected native SVG,"Notice, qualified reset and task return; no guaranteed calm or causal diagnosis.",reset-return,12550deef9e9752b2a6208bc915a5e7c22aecca8424e15627c536a42e1f0c83f,2603,True,8bf3072690679b5d002532117fbbea55c43c886f0e7a1809db20d8f1988a0f3d,Supplied SportsWellness_Original_All_Phases_Generation_2026-09-17.zip
3,assets/readings/phase3-figures/phase3-precompetition-blueprint.png,assets/figures/phase3-precompetition-blueprint.svg,corrected native SVG,Readable before-task sequence with purpose for each step.,prepare-attention,1e50d04cca2b06c55027346b76f28528f78037485cb54e61f6f16c3fad6940b1,2698,True,c8c58f269c89f8060df57cdbd11eb43ba948d40bc6d4f05f0ae8f1774512202d,Supplied SportsWellness_Original_All_Phases_Generation_2026-09-17.zip
3,assets/readings/phase3-figures/phase3-focus-system-map.png,assets/figures/phase3-focus-system-map.svg,corrected native SVG,"Task, cues, shifts, practice and review synthesized after teaching.",flexible-focus,10e9b49a7c17d70df9a02cee7b924b9ed9b0c8999b5600d60d8aa781ce1680f3,2566,True,9b86995ed01533945f54879af91991dad0aefa365ec54fa07aadf84db18d37ee,Supplied SportsWellness_Original_All_Phases_Generation_2026-09-17.zip
