phase,original_module,original_field_id,original_prompt,original_placeholder,original_options,new_evidence_field_id,disposition,reason,source_location
2,values,vb_value1,"Core value 01
Select value...
Accountability
Achievement
Activism
Adaptability
Adventure
Altruism
Ambition
Authenticity
Balance
Commitment
Community
Compassion
Courage
Creativity
Curiosity
Efficiency
Equality
Excellence
Fairness
Faith
Freedom
Generosity
Gratitude
Growth
Harmony
Health
Honesty
Integrity
Intuition
Joy
Justice
Kindness
Leadership
Learning
Love
Loyalty
Optimism
Peace
Respect
Responsibility
Service
Simplicity
Success
Teamwork
Trust
Vulnerability
Wisdom

Definition

Does this define me under pressure?
Is this who I am at my best?
Can I use it as a decision filter?",,"[""Select value..."", ""Accountability"", ""Achievement"", ""Activism"", ""Adaptability"", ""Adventure"", ""Altruism"", ""Ambition"", ""Authenticity"", ""Balance"", ""Commitment"", ""Community"", ""Compassion"", ""Courage"", ""Creativity"", ""Curiosity"", ""Efficiency"", ""Equality"", ""Excellence"", ""Fairness"", ""Faith"", ""Freedom"", ""Generosity"", ""Gratitude"", ""Growth"", ""Harmony"", ""Health"", ""Honesty"", ""Integrity"", ""Intuition"", ""Joy"", ""Justice"", ""Kindness"", ""Leadership"", ""Learning"", ""Love"", ""Loyalty"", ""Optimism"", ""Peace"", ""Respect"", ""Responsibility"", ""Service"", ""Simplicity"", ""Success"", ""Teamwork"", ""Trust"", ""Vulnerability"", ""Wisdom""]",p2-value-action,combined,Combine repeated value choices and behavioural examples into one explained value/action contrast; private beliefs and moral-worth judgments are not required.,original-course/assignment-runtime-main.js; rendered values control #vb_value1
2,values,vb_value2,"Core value 02
Select value...
Accountability
Achievement
Activism
Adaptability
Adventure
Altruism
Ambition
Authenticity
Balance
Commitment
Community
Compassion
Courage
Creativity
Curiosity
Efficiency
Equality
Excellence
Fairness
Faith
Freedom
Generosity
Gratitude
Growth
Harmony
Health
Honesty
Integrity
Intuition
Joy
Justice
Kindness
Leadership
Learning
Love
Loyalty
Optimism
Peace
Respect
Responsibility
Service
Simplicity
Success
Teamwork
Trust
Vulnerability
Wisdom

Definition

Does this raise my standard?
Would other people see it in my behavior?
Would I still choose it on a bad day?",,"[""Select value..."", ""Accountability"", ""Achievement"", ""Activism"", ""Adaptability"", ""Adventure"", ""Altruism"", ""Ambition"", ""Authenticity"", ""Balance"", ""Commitment"", ""Community"", ""Compassion"", ""Courage"", ""Creativity"", ""Curiosity"", ""Efficiency"", ""Equality"", ""Excellence"", ""Fairness"", ""Faith"", ""Freedom"", ""Generosity"", ""Gratitude"", ""Growth"", ""Harmony"", ""Health"", ""Honesty"", ""Integrity"", ""Intuition"", ""Joy"", ""Justice"", ""Kindness"", ""Leadership"", ""Learning"", ""Love"", ""Loyalty"", ""Optimism"", ""Peace"", ""Respect"", ""Responsibility"", ""Service"", ""Simplicity"", ""Success"", ""Teamwork"", ""Trust"", ""Vulnerability"", ""Wisdom""]",p2-value-action,optional,Original extra value choice preserved in source records as optional reflection; only one developed value/action comparison is required.,original-course/assignment-runtime-main.js; rendered values control #vb_value2
2,values,vb_value3,"Core value 03
Select value...
Accountability
Achievement
Activism
Adaptability
Adventure
Altruism
Ambition
Authenticity
Balance
Commitment
Community
Compassion
Courage
Creativity
Curiosity
Efficiency
Equality
Excellence
Fairness
Faith
Freedom
Generosity
Gratitude
Growth
Harmony
Health
Honesty
Integrity
Intuition
Joy
Justice
Kindness
Leadership
Learning
Love
Loyalty
Optimism
Peace
Respect
Responsibility
Service
Simplicity
Success
Teamwork
Trust
Vulnerability
Wisdom

Definition

Will this help with hard choices?
Does it describe the person I am building?
Is it strong enough to anchor repair?",,"[""Select value..."", ""Accountability"", ""Achievement"", ""Activism"", ""Adaptability"", ""Adventure"", ""Altruism"", ""Ambition"", ""Authenticity"", ""Balance"", ""Commitment"", ""Community"", ""Compassion"", ""Courage"", ""Creativity"", ""Curiosity"", ""Efficiency"", ""Equality"", ""Excellence"", ""Fairness"", ""Faith"", ""Freedom"", ""Generosity"", ""Gratitude"", ""Growth"", ""Harmony"", ""Health"", ""Honesty"", ""Integrity"", ""Intuition"", ""Joy"", ""Justice"", ""Kindness"", ""Leadership"", ""Learning"", ""Love"", ""Loyalty"", ""Optimism"", ""Peace"", ""Respect"", ""Responsibility"", ""Service"", ""Simplicity"", ""Success"", ""Teamwork"", ""Trust"", ""Vulnerability"", ""Wisdom""]",p2-value-action,optional,Original extra value choice preserved in source records as optional reflection; only one developed value/action comparison is required.,original-course/assignment-runtime-main.js; rendered values control #vb_value3
2,values,vb_values_why,"Why these values matter

Explain why these values are non-negotiable for the person you are trying to become.","Describe what these values protect, why they matter now, and what changes when you live by them.",[],p2-value-action,combined,Combine repeated value choices and behavioural examples into one explained value/action contrast; private beliefs and moral-worth judgments are not required.,original-course/assignment-runtime-main.js; rendered values control #vb_values_why
2,values,vb_motivation_driver,"What is driving your effort right now?

Use the chapter lens: pressure, guilt, values, identity, enjoyment, or fear. Name what is actually driving this week's effort.","Be honest about whether your effort is being pulled by meaning, image, pressure, or a mix.",[],p2-reasons,combined,Retain the motivational-reason distinction and evidence; a fictional performer is permitted.,original-course/assignment-runtime-main.js; rendered values control #vb_motivation_driver
2,values,vb_training_behaviors,"Training standards

What behaviors prove your values in practice, study, recovery, and preparation?",Name the concrete actions that show your values are active in ordinary work.,[],p2-value-action,combined,Combine repeated value choices and behavioural examples into one explained value/action contrast; private beliefs and moral-worth judgments are not required.,original-course/assignment-runtime-main.js; rendered values control #vb_training_behaviors
2,values,vb_competition_behaviors,"Competition standards

What behaviors prove your values when pressure, evaluation, or uncertainty rises?",Describe what those values look like when the environment becomes stressful.,[],p2-value-action,combined,Combine repeated value choices and behavioural examples into one explained value/action contrast; private beliefs and moral-worth judgments are not required.,original-course/assignment-runtime-main.js; rendered values control #vb_competition_behaviors
2,values,vb_task_bridge,"Weekly proof action

What single controllable process action will prove these values this week?",Name the action that makes the values concrete instead of theoretical.,[],p2-value-action,combined,Combine repeated value choices and behavioural examples into one explained value/action contrast; private beliefs and moral-worth judgments are not required.,original-course/assignment-runtime-main.js; rendered values control #vb_task_bridge
2,values,vb_filter_hard,"Before a hard choice

What question will you ask before a difficult decision?",Example: What would discipline do here?,[],p2-if-then,combined,"Combine repeated barrier and mistake responses; describe the observable situation, a fitting response and support rather than judging character.",original-course/assignment-runtime-main.js; rendered values control #vb_filter_hard
2,values,vb_filter_mistake,"After a mistake

What question brings you back into alignment after a slip?",Example: What choice keeps me aligned right now?,[],p2-if-then,combined,"Combine repeated barrier and mistake responses; describe the observable situation, a fitting response and support rather than judging character.",original-course/assignment-runtime-main.js; rendered values control #vb_filter_mistake
