phase,test,result,detail
4,Latest keystroke reaches My Work,PASS,
4,My Work return opens exact field,PASS,
4,State reconstructed from captured storage,PASS,
4,Safe collected HTML,PASS,
4,Explicit reuse copies lesson response,PASS,
4,Reuse protects edited response on Cancel,PASS,
4,Build step 1 selectable,PASS,
4,Build step 2 selectable,PASS,
4,Build step 3 selectable,PASS,
4,Build step 4 selectable,PASS,
4,Build step 5 selectable,PASS,
4,Deep link selects correct Build step,PASS,
4,First-answer snapshot immutable,PASS,
4,Deep link selects correct written review,PASS,
4,Separate timestamped notes,PASS,
4,Delete single note,PASS,
4,Undo note deletion,PASS,
4,Incomplete checkpoint rejected,PASS,
4,Partial checkpoint reconstructed,PASS,
4,Complete checkpoint scores all keys,PASS,
4,Unchanged duplicate not recorded,PASS,
4,Checkpoint feedback survives study return,PASS,
4,Submitted feedback reconstructed,PASS,
4,New attempt clears DOM and state,PASS,
4,Best attempt retained,PASS,
4,Historical attempt can be reviewed,PASS,
4,Guided case revisiting works,PASS,
4,guided three cases and transfer collected,PASS,
4,untimed three cases and transfer collected,PASS,
4,Both decision formats collected,PASS,
4,Malformed backup rejected safely,PASS,
4,Unrelated backup rejected safely,PASS,
4,Cross phase backup rejected safely,PASS,
4,Wrong field type backup rejected safely,PASS,
4,Valid import Cancel preserves work,PASS,
4,Valid import replacement,PASS,
4,Prior work recoverable after import,PASS,
4,Full permitted 20000-character response preserved,PASS,
4,Game messages reject wrong source origin identity version payload,PASS,"{'wrongWindow': False, 'wrongOrigin': False, 'wrongActivity': False, 'wrongVersion': False, 'wrongSession': False, 'badPayload': False, 'valid': True, 'duplicate': False}"
4,Valid game summary accepted once,PASS,
4,Writes isolated to own phase key,PASS,
4,Storage failure does not claim saved,PASS,
4,Storage failure retains live text,PASS,
