phase,id,type,status,learning_target,source_location,correct_concept,answer_position,feedback,role,content_version
2,phase2-q1,checkpoint,revised,Direction identifies where effort is aimed. Similar effort can serve different targets; the scenario does not establish a difference in intensity.,original-course/main.js: QUIZZES[1].questions/phase2-q1,Their direction of effort.,A,Direction identifies where effort is aimed. Similar effort can serve different targets; the scenario does not establish a difference in intensity.,required formative practice,phase2-2026-09-17-r1
2,phase2-q2,checkpoint,revised,The value-consistent purpose supports integrated regulation. It remains extrinsic and does not require enjoyment of the activity.,original-course/main.js: QUIZZES[1].questions/phase2-q2,"Integrated regulation, an autonomous extrinsic reason.",B,The value-consistent purpose supports integrated regulation. It remains extrinsic and does not require enjoyment of the activity.,required formative practice,phase2-2026-09-17-r1
2,phase2-q3,checkpoint,revised,The changes can support the three needs. Their effects still need checking in context rather than being treated as guarantees.,original-course/main.js: QUIZZES[1].questions/phase2-q3,"These may support autonomy, competence and relatedness.",C,The changes can support the three needs. Their effects still need checking in context rather than being treated as guarantees.,required formative practice,phase2-2026-09-17-r1
2,phase2-q4,checkpoint,revised,Preparing a role and offering relevant help are observable actions. They can be connected to contribution without assessing private character.,original-course/main.js: QUIZZES[1].questions/phase2-q4,The performer prepares the agreed part and offers relevant help.,D,Preparing a role and offering relevant help are observable actions. They can be connected to contribution without assessing private character.,required formative practice,phase2-2026-09-17-r1
2,phase2-q5,checkpoint,revised,"The response connects evidence, strategy and feedback. Effort matters, but a learning plan needs more than encouragement alone.",original-course/main.js: QUIZZES[1].questions/phase2-q5,"State what happened, try a relevant adjustment and inspect the next attempt.",A,"The response connects evidence, strategy and feedback. Effort matters, but a learning plan needs more than encouragement alone.",required formative practice,phase2-2026-09-17-r1
2,phase2-q6,checkpoint,revised,The statement identifies an action in a specific attempt. It permits repair without making the event a verdict about the whole person.,original-course/main.js: QUIZZES[1].questions/phase2-q6,I did not use the agreed preparation step on this attempt.,B,The statement identifies an action in a specific attempt. It permits repair without making the event a verdict about the whole person.,required formative practice,phase2-2026-09-17-r1
2,phase2-q7,checkpoint,revised,The statement recognizes a specific process and progress rather than superiority or entitlement.,original-course/main.js: QUIZZES[1].questions/phase2-q7,I used the feedback and made my setup more consistent.,C,The statement recognizes a specific process and progress rather than superiority or entitlement.,required formative practice,phase2-2026-09-17-r1
2,phase2-q8,checkpoint,revised,"Connecting a claim to an example is an action used in the task. Ratings and selection are outcomes, while a standard is a performance target.",original-course/main.js: QUIZZES[1].questions/phase2-q8,Connect each claim to one relevant example during rehearsal.,D,"Connecting a claim to an example is an action used in the task. Ratings and selection are outcomes, while a standard is a performance target.",required formative practice,phase2-2026-09-17-r1
2,phase2-q9,checkpoint,revised,"The information supports a planning and support discussion. It does not establish a diagnosis, treatment or safe workload.",original-course/main.js: QUIZZES[1].questions/phase2-q9,Discuss the changed demands and appropriate support before deciding on adjustments.,A,"The information supports a planning and support discussion. It does not establish a diagnosis, treatment or safe workload.",required formative practice,phase2-2026-09-17-r1
2,phase2-q10,checkpoint,revised,A person-by-situation explanation considers the task and conditions as well as the learner. One result does not establish a universal prescription.,original-course/main.js: QUIZZES[1].questions/phase2-q10,"The task, available feedback and what changed in the social setting.",B,A person-by-situation explanation considers the task and conditions as well as the learner. One result does not establish a universal prescription.,required formative practice,phase2-2026-09-17-r1
2,p2-effort-direction-check-1,lesson check,newly authored,I can distinguish direction and intensity using evidence from one situation.,original PHASE_CONTENT phase-2 sections 3,Direction: the aspect being practised.,A,The choice identifies where effort is aimed. We need more information to describe the amount of effort.,required formative practice,phase2-2026-09-17-r1
2,p2-effort-direction-check-2,lesson check,newly authored,I can distinguish direction and intensity using evidence from one situation.,original PHASE_CONTENT phase-2 sections 3,Clarify the instruction and choose one feature to observe.,B,"Clarifying the task addresses the problem stated in the case. Effort still matters, but more of the same action may repeat the misunderstanding.",required formative practice,phase2-2026-09-17-r1
2,p2-effort-direction-response,lesson application,newly authored / source concepts retained,I can distinguish direction and intensity using evidence from one situation.,original PHASE_CONTENT phase-2 sections 3,Name what each performer is trying to improve.; Distinguish the target from the amount of effort.; Avoid treating one observation as a character judgment.,not applicable,Name what each performer is trying to improve.; Distinguish the target from the amount of effort.; Avoid treating one observation as a character judgment.,required written application; reusable in Build,phase2-2026-09-17-r1
2,p2-motivation-reasons-check-1,lesson check,newly authored,I can distinguish reasons for action without assigning a permanent label to a person.,original PHASE_CONTENT phase-2 sections 4,Integrated regulation connected to values.,C,"The stated reason is a value-consistent purpose, not enjoyment of the drill. Integrated regulation remains a form of extrinsic motivation.",required formative practice,phase2-2026-09-17-r1
2,p2-motivation-reasons-check-2,lesson check,newly authored,I can distinguish reasons for action without assigning a permanent label to a person.,original PHASE_CONTENT phase-2 sections 4,Whether the task has meaning and feels possible to influence.,A,"The case suggests a lack of intention. Clarifying purpose, task understanding and available support is more useful than assigning a permanent type.",required formative practice,phase2-2026-09-17-r1
2,p2-motivation-reasons-response,lesson application,newly authored / source concepts retained,I can distinguish reasons for action without assigning a permanent label to a person.,original PHASE_CONTENT phase-2 sections 4,Use the words or action-purpose stated in the case.; Keep intrinsic enjoyment distinct from a valued extrinsic purpose.; Recognize that reasons can overlap or change.,not applicable,Use the words or action-purpose stated in the case.; Keep intrinsic enjoyment distinct from a valued extrinsic purpose.; Recognize that reasons can overlap or change.,required written application; reusable in Build,phase2-2026-09-17-r1
2,p2-psychological-needs-check-1,lesson check,newly authored,"I can connect one environmental change to autonomy, competence or relatedness.",original PHASE_CONTENT phase-2 sections 5,Autonomy through meaningful choice.,B,The choice and explanation support ownership within a suitable constraint. They do not remove the learning target or guarantee improvement.,required formative practice,phase2-2026-09-17-r1
2,p2-psychological-needs-check-2,lesson check,newly authored,"I can connect one environmental change to autonomy, competence or relatedness.",original PHASE_CONTENT phase-2 sections 5,Demonstrate a short section and give specific feedback on it.,C,"A clear, manageable section links action to feedback. The next check is whether the learner understands and can use the step, not whether they report perfect confidence.",required formative practice,phase2-2026-09-17-r1
2,p2-psychological-needs-response,lesson application,newly authored / source concepts retained,"I can connect one environmental change to autonomy, competence or relatedness.",original PHASE_CONTENT phase-2 sections 5,Name the problem in the case.; Propose a specific change and connect it to one need.; Describe what to ask or observe after the change.,not applicable,Name the problem in the case.; Propose a specific change and connect it to one need.; Describe what to ask or observe after the change.,required written application; reusable in Build,phase2-2026-09-17-r1
2,p2-values-action-check-1,lesson check,newly authored,I can connect one value to an action without judging a person’s worth.,original PHASE_CONTENT phase-2 sections 6,Prepare the agreed role and offer relevant help during practice.,A,The first statement describes actions that can be followed and reviewed. The other statements ask for a broad identity or internal feeling.,required formative practice,phase2-2026-09-17-r1
2,p2-values-action-check-2,lesson check,newly authored,I can connect one value to an action without judging a person’s worth.,original PHASE_CONTENT phase-2 sections 6,Discuss another suitable preparation action and explain how it serves contribution.,C,The transport constraint changes what is possible. An adapted action can still express the value without pretending the barrier does not exist.,required formative practice,phase2-2026-09-17-r1
2,p2-values-action-response,lesson application,newly authored / source concepts retained,I can connect one value to an action without judging a person’s worth.,original PHASE_CONTENT phase-2 sections 6,Name one value and explain it in ordinary language.; Describe two observable actions in the same situation.; Explain the connection without judging the whole person.,not applicable,Name one value and explain it in ordinary language.; Describe two observable actions in the same situation.; Explain the connection without judging the whole person.,required written application; reusable in Build,phase2-2026-09-17-r1
2,p2-responding-mistakes-check-1,lesson check,newly authored,"I can write an accurate observation, choose an adjustment and explain evidence-based pride.","original PHASE_CONTENT phase-2 sections 7,8",I skipped the agreed preparation step before this attempt.,B,The preparation step is a specific behaviour. It can be reviewed and changed without making the event a verdict about the whole person.,required formative practice,phase2-2026-09-17-r1
2,p2-responding-mistakes-check-2,lesson check,newly authored,"I can write an accurate observation, choose an adjustment and explain evidence-based pride.","original PHASE_CONTENT phase-2 sections 7,8",My explanation improved after I tested it with a partner.,A,The first response links improvement to a relevant process. It recognizes progress while leaving room for further feedback.,required formative practice,phase2-2026-09-17-r1
2,p2-responding-mistakes-response,lesson application,newly authored / source concepts retained,"I can write an accurate observation, choose an adjustment and explain evidence-based pride.","original PHASE_CONTENT phase-2 sections 7,8",State a specific event rather than a global identity claim.; Choose a relevant adjustment and a way to review it.; Recognize effort or progress without promising a result.,not applicable,State a specific event rather than a global identity claim.; Choose a relevant adjustment and a way to review it.; Recognize effort or progress without promising a result.,required written application; reusable in Build,phase2-2026-09-17-r1
2,p2-usable-goals-check-1,lesson check,newly authored,I can distinguish three goal types and write a usable SMART process goal.,original PHASE_CONTENT phase-2 sections 9,Reach a personal target serving percentage.,C,"A personal percentage is a performance standard. Selection is an outcome, and using the setup is an action.",required formative practice,phase2-2026-09-17-r1
