phase,original_section_index,original_title,original_location,new_routes,disposition,reason
3,0,Chapter roadmap,original-course/main.js: PHASE_CONTENT[phase-3].sections[0],start; course-guide; Learn learning goals,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,1,Inside This Chapter,original-course/main.js: PHASE_CONTENT[phase-3].sections[1],start; course-guide; Learn learning goals,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,2,Learning objectives,original-course/main.js: PHASE_CONTENT[phase-3].sections[2],start; course-guide; Learn learning goals,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,3,Study lens,original-course/main.js: PHASE_CONTENT[phase-3].sections[3],start; course-guide; Learn learning goals,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,4,1. Why focus fails under pressure,original-course/main.js: PHASE_CONTENT[phase-3].sections[4],attention-processes,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,5,2. Concentration as a trainable control process,original-course/main.js: PHASE_CONTENT[phase-3].sections[5],attention-processes,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,6,3. Nideffer's attentional quadrants,original-course/main.js: PHASE_CONTENT[phase-3].sections[6],attention-quadrants; attention-shifts,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,7,"4. Self 1, Self 2, and the problem of interference",original-course/main.js: PHASE_CONTENT[phase-3].sections[7],observation-self-talk,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification. Gallwey framework attributed; not a biological division or a measured equation."
3,8,5. Pre-competition plans that protect attention,original-course/main.js: PHASE_CONTENT[phase-3].sections[8],attention-shifts; prepare-attention,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,9,6. Regaining concentration during performance,original-course/main.js: PHASE_CONTENT[phase-3].sections[9],cues-anchors; reset-return,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,10,7. How focus becomes reliable,original-course/main.js: PHASE_CONTENT[phase-3].sections[10],cues-anchors; flexible-focus,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,11,8. End-of-chapter summary,original-course/main.js: PHASE_CONTENT[phase-3].sections[11],flexible-focus,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
3,12,9. Glossary of essential terms,original-course/main.js: PHASE_CONTENT[phase-3].sections[12],resources; reading glossary,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
