phase,id,type,status,learning_target,source_location,correct_concept,answer_position,feedback,role,content_version
3,phase3-q1,checkpoint,revised,"The task changes from explaining to responding. Selection, sustained attention and a purposeful shift work together.",original-course/main.js: QUIZZES[2].questions/phase3-q1,"Attention involves selecting, sustaining and shifting according to the task.",A,"The task changes from explaining to responding. Selection, sustained attention and a purposeful shift work together.",required formative practice,phase3-2026-09-17-r1
3,phase3-q2,checkpoint,revised,The issue is competing jobs in a specific moment. Learning-time analysis and later feedback remain important.,original-course/main.js: QUIZZES[2].questions/phase3-q2,Competing instructions can exceed what is useful in that moment.,B,The issue is competing jobs in a specific moment. Learning-time analysis and later feedback remain important.,required formative practice,phase3-2026-09-17-r1
3,phase3-q3,checkpoint,revised,Several relevant cues in the surroundings make this broad-external attention.,original-course/main.js: QUIZZES[2].questions/phase3-q3,Broad-external.,C,Several relevant cues in the surroundings make this broad-external attention.,required formative practice,phase3-2026-09-17-r1
3,phase3-q4,checkpoint,revised,The selected information is one specific bodily sensation. That describes narrow-internal attention.,original-course/main.js: QUIZZES[2].questions/phase3-q4,Narrow-internal.,D,The selected information is one specific bodily sensation. That describes narrow-internal attention.,required formative practice,phase3-2026-09-17-r1
3,phase3-q5,checkpoint,revised,It organizes a discussion. It does not supply measured values or remove other influences on performance.,original-course/main.js: QUIZZES[2].questions/phase3-q5,As a coaching framework for discussing interference.,A,It organizes a discussion. It does not supply measured values or remove other influences on performance.,required formative practice,phase3-2026-09-17-r1
3,phase3-q6,checkpoint,revised,"These are model labels, not anatomy, diagnoses or permanent learner categories.",original-course/main.js: QUIZZES[2].questions/phase3-q6,The judging/telling role and learned execution.,B,"These are model labels, not anatomy, diagnoses or permanent learner categories.",required formative practice,phase3-2026-09-17-r1
3,phase3-q7,checkpoint,revised,A specific observation supports a next action without denying the error or making a global claim.,original-course/main.js: QUIZZES[2].questions/phase3-q7,My setup was rushed; I will use the agreed cue and review it.,C,A specific observation supports a next action without denying the error or making a global claim.,required formative practice,phase3-2026-09-17-r1
3,phase3-q8,checkpoint,revised,"The sequence must fit the task and available time. It supports, rather than replaces, preparation.",original-course/main.js: QUIZZES[2].questions/phase3-q8,"connect preparation, a task cue and the next action.",D,"The sequence must fit the task and available time. It supports, rather than replaces, preparation.",required formative practice,phase3-2026-09-17-r1
3,phase3-q9,checkpoint,revised,Adapt the representation while preserving the purpose of the anchor.,original-course/main.js: QUIZZES[2].questions/phase3-q9,Choose another cue serving the same task purpose.,A,Adapt the representation while preserving the purpose of the anchor.,required formative practice,phase3-2026-09-17-r1
3,phase3-q10,checkpoint,revised,Purpose and context determine the distinction. A phrase is not useful merely because it is short.,original-course/main.js: QUIZZES[2].questions/phase3-q10,“See the target” can be instructional; “commit” can support effort.,B,Purpose and context determine the distinction. A phrase is not useful merely because it is short.,required formative practice,phase3-2026-09-17-r1
