original_id,normalized_prompt_summary,original_verbatim_source,destinations,disposition,reason,original_prompt
phase2-written-original-1,"Distinguish between the direction and intensity of motivation, and explain why the distinction matters for performance.","reference/original-readings/phase2-drive-content.pdf, page 16",effort-direction; phase2-q1; p2-written-review-1,reworded / distributed,"Retain concept; distribute into lesson, lab, Build and four-question review instead of requiring redundant answers.","Distinguish the direction and intensity of motivation, and explain why that distinction is useful in performance settings."
phase2-written-original-2,Explain the difference between introjected and integrated regulation.,"reference/original-readings/phase2-drive-content.pdf, page 16",motivation-reasons; phase2-q2; p2-written-review-1,reworded / distributed,"Retain concept; distribute into lesson, lab, Build and four-question review instead of requiring redundant answers.",What is the difference between introjected regulation and integrated regulation?
phase2-written-original-3,"Why are autonomy, competence, and relatedness considered basic psychological needs in Self-Determination Theory?","reference/original-readings/phase2-drive-content.pdf, page 16",psychological-needs; phase2-q3; decision case 2,reworded / distributed,"Retain concept; distribute into lesson, lab, Build and four-question review instead of requiring redundant answers.","Why does self-determination theory treat autonomy, competence, and relatedness as basic psychological needs?"
phase2-written-original-4,How can values change the meaning of difficulty during performance?,"reference/original-readings/phase2-drive-content.pdf, page 16",values-action; phase2-q4; p2-value-action,reworded / distributed,"Retain concept; distribute into lesson, lab, Build and four-question review instead of requiring redundant answers.",How do values change the meaning of a difficult task?
phase2-written-original-5,Compare entity and incremental theories of ability.,"reference/original-readings/phase2-drive-content.pdf, page 16",responding-mistakes; phase2-q5; p2-written-review-3,reworded / distributed,"Retain concept; distribute into lesson, lab, Build and four-question review instead of requiring redundant answers.",Contrast the entity view of ability with the incremental view of ability.
phase2-written-original-6,Differentiate guilt from shame in a performance setting.,"reference/original-readings/phase2-drive-content.pdf, page 16",responding-mistakes; phase2-q6,reworded / distributed,"Retain concept; distribute into lesson, lab, Build and four-question review instead of requiring redundant answers.",Why can guilt support behavior change while shame often undermines it?
phase2-written-original-7,Distinguish authentic pride from hubristic pride.,"reference/original-readings/phase2-drive-content.pdf, page 16",responding-mistakes; phase2-q7,reworded / distributed,"Retain concept; distribute into lesson, lab, Build and four-question review instead of requiring redundant answers.",How does authentic pride differ from hubristic pride?
phase2-written-original-8,"Explain outcome, performance, and process goals.","reference/original-readings/phase2-drive-content.pdf, page 16",usable-goals; phase2-q8; p2-goals,reworded / distributed,"Retain concept; distribute into lesson, lab, Build and four-question review instead of requiring redundant answers.","Compare outcome, performance, and process goals and explain when each is most useful."
phase2-written-original-9,"Differentiate functional overreaching, nonfunctional overreaching, and overtraining syndrome.","reference/original-readings/phase2-drive-content.pdf, page 16",effort-recovery; phase2-q9 revised to support/adjustment; glossary historical distinctions,reworded / distributed,"Retain conceptual coverage across required practice, with recovery diagnosis replaced by an adjustment/support decision.","What distinguishes functional overreaching, nonfunctional overreaching, and overtraining syndrome?"
phase2-written-original-10,Explain why rest is part of growth rather than its opposite.,"reference/original-readings/phase2-drive-content.pdf, page 16",effort-recovery; qualified growth figure; p2-recovery,reworded / distributed,"Retain concept; distribute into lesson, lab, Build and four-question review instead of requiring redundant answers.",Why is rest considered part of the growth equation rather than the opposite of discipline?
phase2-written-original-11,Explain how person-by-situation interaction changes performance in team settings.,"reference/original-readings/phase2-drive-content.pdf, page 16",situation-plan; phase2-q10; p2-transfer,reworded / distributed,"Retain concept; distribute into lesson, lab, Build and four-question review instead of requiring redundant answers.",What does the person-by-situation view add to our understanding of motivation in teams and training groups?
phase2-written-original-12,"Apply an integrated plan to a hardworking, guilt-driven and chronically under-recovered performer.","reference/original-readings/phase2-drive-content.pdf, page 16",decision case 3; My Motivation Plan; p2-written-review-2,reworded / distributed,"Retain concept; distribute into lesson, lab, Build and four-question review instead of requiring redundant answers.",Create a brief integrated-discipline plan for a student who is hardworking but guilt-driven and chronically under-recovered.
