phase,route,core_words,worked_example_words,approx_words_per_sentence,two_checks,one_primary_response,target_core_400_650,approx_fk_grade_heuristic,readability_limit
2,effort-direction,405,85,10.7,True,True,True,7.9,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
2,motivation-reasons,422,64,12.4,True,True,True,10.1,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
2,psychological-needs,440,75,13.3,True,True,True,9.5,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
2,values-action,449,68,12.1,True,True,True,8.7,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
2,responding-mistakes,435,72,13.2,True,True,True,9.3,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
2,usable-goals,441,59,11.3,True,True,True,8.1,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
2,effort-recovery,462,69,12.2,True,True,True,9.9,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
2,situation-plan,442,76,13.0,True,True,True,9.7,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
3,attention-processes,403,80,11.5,True,True,True,8.8,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
3,attention-quadrants,415,75,10.6,True,True,True,9.9,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
3,attention-shifts,440,74,11.3,True,True,True,8.1,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
3,observation-self-talk,435,78,12.8,True,True,True,9.7,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
3,cues-anchors,426,82,12.9,True,True,True,8.2,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
3,prepare-attention,446,82,11.2,True,True,True,8.7,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
3,reset-return,449,80,11.8,True,True,True,8.1,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
3,flexible-focus,440,82,14.7,True,True,True,9.6,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
4,task-confidence,435,79,13.2,True,True,True,10.1,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
4,preparation-evidence,437,69,13.2,True,True,True,10.7,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
4,useful-evidence,444,72,11.4,True,True,True,10.0,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
4,feedback-setbacks,446,73,13.5,True,True,True,9.8,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
4,cba-routine,432,69,11.7,True,True,True,8.1,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
4,rehearsal-formats,448,72,12.8,True,True,True,10.9,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
4,disruption-rehearsal,435,75,13.2,True,True,True,9.1,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
4,combine-toolkit,462,75,11.8,True,True,True,8.8,"Heuristic syllables and sentence boundaries; editorial signal, not validated reading-level certification."
