id,chapter,title,image,letter,answer,accepted_answers,notes
ch11-potential-energy,11,Potential Energy Diagram,chapter_11/ch11_potential_energy_diagram.png,A,Potential energy,potential energy | potential energy axis | y-axis,Exothermic profile: products are lower in potential energy than reactants.
ch11-potential-energy,11,Potential Energy Diagram,chapter_11/ch11_potential_energy_diagram.png,B,Reactants,reactants | reactant energy level,Exothermic profile: products are lower in potential energy than reactants.
ch11-potential-energy,11,Potential Energy Diagram,chapter_11/ch11_potential_energy_diagram.png,C,Activated complex,activated complex | transition state,Exothermic profile: products are lower in potential energy than reactants.
ch11-potential-energy,11,Potential Energy Diagram,chapter_11/ch11_potential_energy_diagram.png,D,Activation energy (Ea),activation energy | Ea | activation energy forward,Exothermic profile: products are lower in potential energy than reactants.
ch11-potential-energy,11,Potential Energy Diagram,chapter_11/ch11_potential_energy_diagram.png,E,Products,products | product energy level,Exothermic profile: products are lower in potential energy than reactants.
ch11-potential-energy,11,Potential Energy Diagram,chapter_11/ch11_potential_energy_diagram.png,F,Enthalpy change (ΔH),enthalpy change | delta H | ΔH | heat of reaction,Exothermic profile: products are lower in potential energy than reactants.
ch11-potential-energy,11,Potential Energy Diagram,chapter_11/ch11_potential_energy_diagram.png,G,Reaction progress,reaction progress | reaction coordinate | x-axis,Exothermic profile: products are lower in potential energy than reactants.
ch11-catalyst-pathway,11,Catalyzed vs. Uncatalyzed Reaction Pathway,chapter_11/ch11_catalyzed_vs_uncatalyzed.png,A,Potential energy,potential energy | potential energy axis | y-axis,A catalyst lowers activation energy but does not change the energy of reactants/products or ΔH.
ch11-catalyst-pathway,11,Catalyzed vs. Uncatalyzed Reaction Pathway,chapter_11/ch11_catalyzed_vs_uncatalyzed.png,B,Reaction progress,reaction progress | reaction coordinate | x-axis,A catalyst lowers activation energy but does not change the energy of reactants/products or ΔH.
ch11-catalyst-pathway,11,Catalyzed vs. Uncatalyzed Reaction Pathway,chapter_11/ch11_catalyzed_vs_uncatalyzed.png,C,Reactants,reactants | reactant energy level,A catalyst lowers activation energy but does not change the energy of reactants/products or ΔH.
