original_id,catalogue_title_not_verified,youtube_id,candidate_phase,candidate_route,learner_disposition,actual_publisher_title,duration_segment,captions_transcript,school_playback,accuracy_suitability,local_alternative,reason,lesson_purpose,application_question
tape-01,How Self-Determination Theory (SDT) Creates Intrinsic Motivation,6FTTX0H4HfE,2,motivation-reasons,withheld pending full verification,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Compare reasons for the same action.,"Distinguish enjoyment of the activity from doing it for an accepted value, using stated evidence."
tape-02,Michael Jordan and the Power of Failure,Q_EyPX3CD-g,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-03,"The Power of ""Yet"" in Student Athletics",px9CzSZsa0Y,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-04,Growth Mindset vs. Fixed Mindset for High School Athletes,DDaV57glOVI,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-05,The Science of Praise and Student Motivation (Carol Dweck),y5ZBItSb7jw,2,responding-mistakes,withheld pending full verification,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Examine feedback after a learning setback.,Name the task-specific information in feedback and one useful next adjustment.
tape-06,Mastering the Inner Game: Self 1 vs. Self 2 Concepts,pa2Mpa8t8iU,3,observation-self-talk,withheld pending full verification,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Explain the attributed Inner Game distinction.,Turn a global judgment into an observation without claiming Self 1 and Self 2 are brain structures.
tape-07,Managing Pre-Game Anxiety: The ABCs Strategy,FcPSuW9pGcE,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-08,Controlling Nerves and Reframing Pregame Jitters,Ih5IrYcXADo,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-09,Dr. Nate Zinsser: Building the Mental Bank Account for Confidence,00gzhaRnr6A,4,useful-evidence,withheld pending full verification,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Examine evidence-based confidence.,Choose one preparation example and explain what it supports and cannot prove.
tape-10,Yerkes-Dodson: The Inverted-U Theory of Performance,s9goL8OeB-0,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-11,Practical Arousal Control for Elite Performance,_Le9VIVi1xM,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-12,The Power of Visualization: How Michael Phelps Swims in His Mind,3-mm90LFPqU,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
tape-13,Scenario Planning: Michael Phelps and Preparing for Anything,RoEhKWmVF3g,4,disruption-rehearsal,withheld pending full verification,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Illustrate preparation for interruption.,"Describe the interruption, a response and an alternative; do not treat an athlete story as proof of a mechanism."
tape-14,Guided Athletic Meditation and Imagery Session,5Cl4OjZYBg0,not shortlisted,none,reference only; not selected for core route,not verified,not verified,not verified,not run,not certified end-to-end,"Complete local lesson, worked example and support explanation; revised reading PDF",A catalogue title is not verification. No player or dead placeholder was activated.,Not selected for this milestone,Not assigned
