phase,original_section_index,original_title,original_location,new_routes,disposition,reason
2,0,Inside This Chapter,original-course/main.js: PHASE_CONTENT[phase-2].sections[0],start; course-guide; Learn learning goals,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
2,1,Learning objectives,original-course/main.js: PHASE_CONTENT[phase-2].sections[1],start; course-guide; Learn learning goals,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
2,2,Study lens,original-course/main.js: PHASE_CONTENT[phase-2].sections[2],start; course-guide; Learn learning goals,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
2,3,1. Rethinking Discipline,original-course/main.js: PHASE_CONTENT[phase-2].sections[3],effort-direction,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
2,4,2. Self-Determination Theory and the Motivation Continuum,original-course/main.js: PHASE_CONTENT[phase-2].sections[4],motivation-reasons,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
2,5,3. The Three Psychological Needs,original-course/main.js: PHASE_CONTENT[phase-2].sections[5],psychological-needs,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
2,6,"4. Values, Vulnerability, and Behavioral Direction",original-course/main.js: PHASE_CONTENT[phase-2].sections[6],values-action,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
2,7,"5. Mindset, Accountability, Guilt, and Shame",original-course/main.js: PHASE_CONTENT[phase-2].sections[7],responding-mistakes,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
2,8,6. Authentic Pride and Hubristic Pride,original-course/main.js: PHASE_CONTENT[phase-2].sections[8],responding-mistakes,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
2,9,7. Goal Setting: Turning Identity into Action,original-course/main.js: PHASE_CONTENT[phase-2].sections[9],usable-goals,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
2,10,"8. Recovery, Overreaching, and Overtraining Syndrome",original-course/main.js: PHASE_CONTENT[phase-2].sections[10],effort-recovery,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification. Recovery and growth language is qualified; the 40% rule and injury-versus-effort self-diagnosis are withheld."
2,11,9. The Growth Equation,original-course/main.js: PHASE_CONTENT[phase-2].sections[11],effort-recovery,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification. Recovery and growth language is qualified; the 40% rule and injury-versus-effort self-diagnosis are withheld."
2,12,10. Person by Situation: Social Context and the Myth of Universal Grit,original-course/main.js: PHASE_CONTENT[phase-2].sections[12],situation-plan,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
2,13,11. Tactical Drills for Integrated Discipline,original-course/main.js: PHASE_CONTENT[phase-2].sections[13],situation-plan,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification. Recovery and growth language is qualified; the 40% rule and injury-versus-effort self-diagnosis are withheld."
2,14,12. Common Misunderstandings,original-course/main.js: PHASE_CONTENT[phase-2].sections[14],situation-plan,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
2,15,13. End-of-Chapter Summary,original-course/main.js: PHASE_CONTENT[phase-2].sections[15],situation-plan,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
2,16,14. Glossary of Essential Terms,original-course/main.js: PHASE_CONTENT[phase-2].sections[16],resources; reading glossary,reworded / combined,"Retain conceptual coverage with Grade 8–9 prose, concrete worked cases and explicit application. Reorganization follows the supplied specification."
