phase,original_module,original_field_id,original_prompt,original_placeholder,original_options,new_evidence_field_id,disposition,reason,source_location
4,phase4a,p4a_tt-1,1,Evidence item 1...,[],p4-evidence,combined,Replace the mandatory ten-achievement list and repeated logs with three developed effort/success/progress examples from the case.,original-course/assignment-runtime-main.js; rendered phase4a control #p4a_tt-1
4,phase4a,p4a_tt-2,2,Evidence item 2...,[],p4-evidence,combined,Replace the mandatory ten-achievement list and repeated logs with three developed effort/success/progress examples from the case.,original-course/assignment-runtime-main.js; rendered phase4a control #p4a_tt-2
4,phase4a,p4a_tt-3,3,Evidence item 3...,[],p4-evidence,combined,Replace the mandatory ten-achievement list and repeated logs with three developed effort/success/progress examples from the case.,original-course/assignment-runtime-main.js; rendered phase4a control #p4a_tt-3
4,phase4a,p4a_tt-4,4,Evidence item 4...,[],p4-evidence,combined,Replace the mandatory ten-achievement list and repeated logs with three developed effort/success/progress examples from the case.,original-course/assignment-runtime-main.js; rendered phase4a control #p4a_tt-4
4,phase4a,p4a_tt-5,5,Evidence item 5...,[],p4-evidence,combined,Replace the mandatory ten-achievement list and repeated logs with three developed effort/success/progress examples from the case.,original-course/assignment-runtime-main.js; rendered phase4a control #p4a_tt-5
4,phase4a,p4a_tt-6,6,Evidence item 6...,[],p4-evidence,combined,Replace the mandatory ten-achievement list and repeated logs with three developed effort/success/progress examples from the case.,original-course/assignment-runtime-main.js; rendered phase4a control #p4a_tt-6
4,phase4a,p4a_tt-7,7,Evidence item 7...,[],p4-evidence,combined,Replace the mandatory ten-achievement list and repeated logs with three developed effort/success/progress examples from the case.,original-course/assignment-runtime-main.js; rendered phase4a control #p4a_tt-7
4,phase4a,p4a_tt-8,8,Evidence item 8...,[],p4-evidence,combined,Replace the mandatory ten-achievement list and repeated logs with three developed effort/success/progress examples from the case.,original-course/assignment-runtime-main.js; rendered phase4a control #p4a_tt-8
4,phase4a,p4a_tt-9,9,Evidence item 9...,[],p4-evidence,combined,Replace the mandatory ten-achievement list and repeated logs with three developed effort/success/progress examples from the case.,original-course/assignment-runtime-main.js; rendered phase4a control #p4a_tt-9
4,phase4a,p4a_tt-10,10,Evidence item 10...,[],p4-evidence,combined,Replace the mandatory ten-achievement list and repeated logs with three developed effort/success/progress examples from the case.,original-course/assignment-runtime-main.js; rendered phase4a control #p4a_tt-10
4,phase4a,p4a_esp_effort,"Daily E-S-P: Effort

What recent effort proves discipline or toughness?",Name the effort deposit that deserves to count.,[],p4-evidence,combined,Replace the mandatory ten-achievement list and repeated logs with three developed effort/success/progress examples from the case.,original-course/assignment-runtime-main.js; rendered phase4a control #p4a_esp_effort
4,phase4a,p4a_esp_success,"Daily E-S-P: Success

What recent success or solved problem belongs in the account?",Name the success you want your brain to keep counting.,[],p4-evidence,combined,Replace the mandatory ten-achievement list and repeated logs with three developed effort/success/progress examples from the case.,original-course/assignment-runtime-main.js; rendered phase4a control #p4a_esp_success
4,phase4a,p4a_esp_progress,"Daily E-S-P: Progress

How are you better than before?",Name the proof that growth is happening.,[],p4-evidence,combined,Replace the mandatory ten-achievement list and repeated logs with three developed effort/success/progress examples from the case.,original-course/assignment-runtime-main.js; rendered phase4a control #p4a_esp_progress
4,phase4a,p4a_daily_plan,"Daily deposit plan

How will you keep adding to the confidence account on ordinary days?",Describe the Daily E-S-P habit that keeps evidence moving into the account.,[],p4-review,combined,"Consolidate daily review and final narratives into evidence, an adjustment and a limitation.",original-course/assignment-runtime-main.js; rendered phase4a control #p4a_daily_plan
4,phase4a,p4a_src_mastery,Mastery experiences,What past evidence proves you have done the thing or built the ingredients?,[],p4-sources,combined,"Choose and justify two relevant sources and their limits; all six source concepts remain taught, without six repeated response boxes.",original-course/assignment-runtime-main.js; rendered phase4a control #p4a_src_mastery
